Food,Calories,Fat,Sat.Fat,Trans_Fat,Cholesterol,Carbs,Fiber,Sugars,Protein
Hamburger,250,9,3.5,0.5,25,31,2,6,12
Cheeseburger,300,12,6,0.5,40,33,2,6,15
Double Cheeseburger,440,23,11,1.5,80,34,2,7,25
McDouble,390,19,8,1,65,33,2,7,22
 Quarter Pounder with Cheese,510,26,12,1.5,90,40,3,9,29
Double Quarter Pounder with Cheese,740,42,19,2.5,155,40,3,9,48
Big Mac,540,29,10,1.5,75,45,3,9,25
Big  Tasty,460,24,8,1.5,70,37,3,8,24
Big  Tasty with Cheese,510,28,11,1.5,85,38,3,8,27
Angus Bacon & Cheese,790,39,17,2,145,63,4,13,45
Angus Deluxe,750,39,16,2,135,61,4,10,40
Angus Mushroom & Swiss,770,40,17,2,135,59,4,8,44
Filet-O-Fish,380,18,3.5,0,40,38,2,5,15
McChicken ,360,16,3,0,35,40,2,5,14
McRib ,500,26,10,0,70,44,3,11,22
Premium Grilled Chicken Classic Sandwich,360,9,2,0,65,41,4,8,27
Premium Crispy Chicken Classic Sandwich,510,22,3.5,0,45,56,3,10,24
Premium Grilled Chicken Club Sandwich,460,17,6,0,90,43,4,9,35
Premium Crispy Chicken Club Sandwich,620,29,7,0,70,57,3,11,31
Premium Grilled Chicken Ranch BLT Sandwich,380,10,3,0,75,41,4,9,31
Premium Crispy Chicken Ranch BLT Sandwich,540,23,4.5,0,55,56,3,11,27
Southern Style Crispy Chicken Sandwich,400,17,3,0,45,39,1,6,24
Ranch Snack Wrap (Crispy),340,17,4.5,0,30,33,1,2,14
Ranch Snack Wrap (Grilled),270,10,4,0,45,26,1,2,18
Honey Mustard Snack Wrap (Crispy),330,16,4.5,0,30,34,1,4,14
Honey Mustard Snack Wrap (Grilled),260,9,3.5,0,45,27,1,4,18
Chipotle BBQ Snack Wrap (Crispy),330,15,4.5,0,30,35,1,4,14
Chipotle BBQ Snack Wrap (Grilled),260,9,3.5,0,45,28,1,5,18
Angus Bacon & Cheese Snack Wrap,390,21,9,1,75,28,1,4,21
Angus Chipotle BBQ Bacon,800,39,18,2,145,66,4,16,45
Angus Chipotle BBQ Bacon Snack Wrap,400,22,10,1,75,30,1,6,21
Angus Deluxe Snack Wrap,410,25,10,1.5,75,27,2,3,20
Angus Mushroom & Swiss Snack Wrap,430,26,10,1.5,75,27,2,2,22
Mac Snack Wrap,330,19,7,1,45,26,1,3,15
Small French Fries,230,11,1.5,0,0,29,3,0,3
Medium French Fries,380,19,2.5,0,0,48,5,0,4
Large French Fries,500,25,3.5,0,0,63,6,0,6
Ketchup Packet,15,0,0,0,0,3,0,2,0
Salt Packet,0,0,0,0,0,0,0,0,0
Chicken McNuggets (4 piece),190,12,2,0,25,12,1,0,9
Chicken McNuggets (6 piece),280,18,3,0,40,18,1,0,13
Chicken McNuggets (10 piece),470,30,5,0,65,30,2,0,22
Barbeque Sauce,50,0,0,0,0,12,0,10,0
Honey,50,0,0,0,0,12,0,11,0
Hot Mustard Sauce,60,2.5,0,0,5,9,2,6,1
Sweet  Sour Sauce,50,0,0,0,0,12,0,10,0
Chicken Selects Premium Breast Strips (3 pc),400,24,3.5,0,50,23,0,0,23
Chicken Selects Premium Breast Strips (5 pc),660,40,6,0,85,39,0,0,38
Spicy Buffalo Sauce,60,6,1,0,0,1,1,0,0
Creamy Ranch Sauce,170,18,3,0,10,2,0,1,0
Tangy Honey Mustard Sauce,60,2,0,0,5,10,0,8,0
Southwestern Chipotle Barbeque Sauce,60,0,0,0,0,15,1,11,0
Premium Southwest Salad with Grilled Chicken,320,9,3,0,70,30,6,11,30
Premium Southwest Salad with Crispy Chicken,430,20,4,0,55,38,6,12,26
Premium Southwest Salad (without chicken),140,4.5,2,0,10,20,6,6,6
Premium Bacon Ranch Salad with Grilled Chicken,260,9,4,0,90,12,3,5,33
Premium Bacon Ranch Salad with Crispy Chicken,370,20,6,0,75,20,3,6,29
Premium Bacon Ranch Salad (without chicken),140,7,3.5,0,25,10,3,4,9
Premium Caesar Salad with Grilled Chicken,220,6,3,0,75,12,3,5,30
Premium Caesar Salad with Crispy Chicken,330,17,4.5,0,60,20,3,6,26
Premium Caesar Salad (without chicken),90,4,2.5,0,10,9,3,4,7
Side Salad,20,0,0,0,0,4,1,2,1
Butter Garlic Croutons,60,1.5,0,0,0,10,1,0,2
Snack Size Fruit & Walnut Salad,210,8,1.5,0,5,31,2,25,4
 Creamy Southwest Dressing,100,6,1,0,20,11,0,3,1
 Creamy Caesar Dressing,190,18,3.5,0,20,4,0,2,2
 Low Fat Balsamic Vinaigrette,40,3,0,0,0,4,0,3,0
 Low Fat Family Recipe Italian Dressing,60,2.5,0,0,0,8,0,1,1
 Ranch Dressing,170,15,2.5,0,20,9,0,4,1
Egg McMuffin,300,12,5,0,260,30,2,3,18
Sausage McMuffin,370,22,8,0,45,29,2,2,14
Sausage McMuffin with Egg,450,27,10,0,285,30,2,2,21
English Muffin,160,3,0.5,0,0,27,2,2,5
"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",420,23,12,0,235,37,2,3,15
"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",480,27,12,0,235,43,3,4,15
Sausage Biscuit with Egg (Regular Size Biscuit),510,33,14,0,250,36,2,2,18
Sausage Biscuit with Egg (Large Size Biscuit),570,37,15,0,250,42,3,3,18
Sausage Biscuit (Regular Size Biscuit),430,27,12,0,30,34,2,2,11
Sausage Biscuit (Large Size Biscuit),480,31,13,0,30,39,3,3,11
Southern Style Chicken Biscuit (Regular Size Biscuit),410,20,8,0,30,41,2,3,17
Southern Style Chicken Biscuit (Large Size Biscuit),470,24,9,0,30,46,3,4,17
"Steak, Egg & Cheese Bagel",660,33,12,1,300,56,3,7,33
"Bacon, Egg & Cheese McGriddles",420,18,8,0,240,48,2,15,15
"Sausage, Egg & Cheese McGriddles",560,32,12,0,265,48,2,15,20
Sausage McGriddles,420,22,8,0,35,44,2,15,11
Big Breakfast (Regular Size Biscuit),740,48,17,0,555,51,3,3,28
Big Breakfast (Large Size Biscuit),800,52,18,0,555,56,4,3,28
Big Breakfast with Hotcakes (Regular Size Biscuit),1090,56,19,0,575,111,6,17,36
Big Breakfast with Hotcakes (Large Size Biscuit),1150,60,20,0,575,116,7,17,36
Sausage Burrito,300,16,7,0,115,26,1,2,12
Burrito with Sausage,610,36,14,0.5,410,44,3,4,27
Hotcakes,350,9,2,0,20,60,3,14,8
Hotcakes and Sausage,520,24,7,0,50,61,3,14,15
Hotcake Syrup,180,0,0,0,0,45,0,32,0
Whipped Margarine (1 pat),40,4.5,1.5,0,0,0,0,0,0
Hash Brown,150,9,1.5,0,0,15,2,0,1
Grape Jam,35,0,0,0,0,9,0,9,0
Strawberry Preserves,35,0,0,0,0,9,0,9,0
"Bacon, Egg & Cheese Bagel",560,27,9,0.5,260,56,3,7,24
Fruit & Maple Oatmeal,290,4.5,2,0,10,57,5,32,5
Fruit & Maple Oatmeal without Brown Sugar,260,4.5,2,0,10,48,5,18,5
Hamburger Happy Meal,475,16,5.5,0,40,62,2,20,22
4 Piece Chicken McNuggets Happy Meal,395,17,3.5,0,35,41,1,14,19
6 Piece Chicken McNuggets Happy Meal,475,22,4.5,0,50,46,2,14,24
Fruit  Yogurt Parfait (7 oz),160,2,1,0,5,31,1,21,4
Low Fat Caramel Dip,70,0.5,0,0,5,15,0,9,0
Vanilla Reduced Fat Ice Cream Cone,150,3.5,2,0,15,24,0,18,4
Kiddie Cone,45,1,0.5,0,5,8,0,6,1
Strawberry Sundae,280,6,4,0,25,49,1,45,6
Hot Caramel Sundae,340,8,5,0,30,60,1,44,7
Hot Fudge Sundae,330,10,7,0,25,54,2,48,8
Peanuts (for Sundaes),45,3.5,0.5,0,0,2,1,0,2
McFlurry with M&MS Candies (12 fl oz cup),710,25,16,1,60,105,4,97,15
McFlurry with OREO Cookies (12 fl oz cup),580,19,10,1,50,89,3,73,13
Baked Hot Apple Pie,250,13,7,0,0,32,4,13,2
Cinnamon Melts,460,19,9,0,15,66,3,32,6
McDonaldland Cookies,260,8,2.5,0,0,43,1,13,4
Chocolate Chip Cookie,160,8,3.5,0,10,21,1,15,2
Oatmeal Raisin Cookie,150,6,2.5,0,10,22,1,13,2
Sugar Cookie,160,7,3,0,5,21,0,11,2
Apple Dippers with Low Fat Caramel Dip,100,0.5,0,0,5,23,0,15,0
Chocolate McCafe Shake (12 fl oz cup),580,17,10,1,50,94,1,77,11
Chocolate McCafe Shake (16 fl oz cup),720,20,12,1,60,119,1,98,15
Chocolate McCafe Shake (22 fl oz cup),880,24,15,1.5,75,147,1,121,18
Chocolate Triple Thick Shake (12 fl oz cup),440,10,6,0.5,40,76,1,63,10
Chocolate Triple Thick Shake (16 fl oz cup),580,14,8,1,50,102,1,84,13
Chocolate Triple Thick Shake (21 fl oz cup),770,18,11,1,70,134,1,111,18
Chocolate Triple Thick Shake (32 fl oz cup),1160,27,16,2,100,203,2,168,27
Snack Size McFlurry with M&MS Candies,430,16,10,0.5,35,64,2,59,9
Snack Size McFlurry with OREO Cookies,340,12,6,0,30,53,2,43,8
Strawberry McCafe Shake (12 fl oz cup),570,17,10,1,50,92,0,79,11
Strawberry McCafe Shake (16 fl oz cup),710,20,12,1,65,116,0,100,14
Strawberry McCafe Shake (22 fl oz cup),860,24,15,1.5,75,144,0,124,18
Strawberry Triple Thick Shake (12 fl oz cup),420,10,6,0.5,40,73,0,63,10
Strawberry Triple Thick Shake (16 fl oz cup),560,13,8,1,50,97,0,84,13
Strawberry Triple Thick Shake (21 fl oz cup),740,18,11,1,70,128,0,111,17
Strawberry Triple Thick Shake (32 fl oz cup),1110,26,16,2,100,194,0,168,25
Vanilla McCafe Shake (12 fl oz cup),540,16,10,1,45,88,0,64,10
Vanilla McCafe Shake (16 fl oz cup),680,20,12,1,60,111,0,82,14
Vanilla McCafe Shake (22 fl oz cup),830,24,14,1.5,75,138,0,103,17
Vanilla Triple Thick Shake (32 fl oz cup),1110,26,16,2,100,193,0,145,25
Vanilla Triple Thick Shake (12 fl oz cup),420,10,6,0.5,40,72,0,54,9
Vanilla Triple Thick Shake (16 fl oz cup),550,13,8,1,50,96,0,72,13
Vanilla Triple Thick Shake (21 fl oz cup),740,18,11,1,70,128,0,96,17
1% Low Fat Milk Jug,100,2.5,1.5,0,10,12,0,12,8
1% Low Fat Chocolate Milk Jug,170,3,1.5,0,5,26,1,25,9
Minute Maid 100% Apple Juice Box,100,0,0,0,0,23,0,22,0
Dasani Water,0,0,0,0,0,0,0,0,0
Minute Maid Orange Juice (Small),150,0,0,0,0,30,0,30,2
Minute Maid Orange Juice (Medium),190,0,0,0,0,39,0,39,3
Minute Maid Orange Juice (Large),280,0,0,0,0,58,0,58,4
Coca-Cola Classic (Child),110,0,0,0,0,29,0,29,0
Coca-Cola Classic (Small),150,0,0,0,0,40,0,40,0
Coca-Cola Classic (Medium),210,0,0,0,0,58,0,58,0
Coca-Cola Classic (Large),310,0,0,0,0,86,0,86,0
Diet Coke (Child),0,0,0,0,0,0,0,0,0
Diet Coke (Small),0,0,0,0,0,0,0,0,0
Diet Coke (Medium),0,0,0,0,0,0,0,0,0
Diet Coke (Large),0,0,0,0,0,0,0,0,0
Sprite (Child),110,0,0,0,0,28,0,28,0
Sprite (Small),150,0,0,0,0,39,0,39,0
Sprite (Medium),210,0,0,0,0,56,0,56,0
Sprite (Large),310,0,0,0,0,83,0,83,0
Hi-C Orange Lavaburst (Child),120,0,0,0,0,32,0,32,0
Hi-C Orange Lavaburst (Small),160,0,0,0,0,44,0,44,0
Hi-C Orange Lavaburst (Medium),240,0,0,0,0,64,0,64,0
Hi-C Orange Lavaburst (Large),350,0,0,0,0,94,0,94,0
POWERade Mountain Blast (Child),70,0,0,0,0,20,0,16,0
POWERade Mountain Blast (Small),100,0,0,0,0,27,0,21,0
POWERade Mountain Blast (Medium),150,0,0,0,0,39,0,31,0
POWERade Mountain Blast (Large),220,0,0,0,0,58,0,46,0
Iced Tea (Child),0,0,0,0,0,0,0,0,0
Iced Tea (Small),0,0,0,0,0,0,0,0,0
Iced Tea (Medium),0,0,0,0,0,0,0,0,0
Iced Tea (Large),0,0,0,0,0,1,0,0,0
Coffee (Small),0,0,0,0,0,0,0,0,0
Coffee (Large),0,0,0,0,0,0,0,0,0
Coffee Cream,20,2,1.5,0,10,0,0,0,0
Sugar Packet,15,0,0,0,0,4,0,4,0
"SPLENDA No
Calorie Sweetener",0,0,0,0,0,1,0,1,0
Iced Coffee Caramel (Small),130,5,3.5,0,20,21,0,20,1
Iced Coffee Caramel (Medium),190,8,5,0,30,27,0,27,2
Iced Coffee Caramel (Large),270,11,7,0,40,41,0,41,2
Iced Coffee Hazelnut (Small),130,5,3.5,0,20,21,0,21,1
Iced Coffee Hazelnut (Medium),190,8,5,0,30,29,0,29,2
Iced Coffee Hazelnut (Large),270,11,7,0,40,43,0,43,2
Iced Coffee Regular (Small),140,5,3.5,0,20,22,0,22,1
Iced Coffee Regular (Medium),200,8,5,0,30,30,0,30,2
Iced Coffee Regular (Large),280,11,7,0,40,45,0,45,2
Iced Coffee Vanilla (Small),130,5,3.5,0,20,21,0,21,1
Iced Coffee Vanilla (Medium),190,8,5,0,30,29,0,28,2
Iced Coffee Vanilla (Large),270,11,7,0,40,43,0,43,2
Iced Coffee with Sugar Free Vanilla Syrup (Small),60,5,3.5,0,20,8,0,1,1
Iced Coffee with Sugar Free Vanilla Syrup (Medium),90,8,5,0,30,11,0,2,2
Iced Coffee with Sugar Free Vanilla Syrup (Large),120,11,7,0,40,16,0,2,2
Sweet Tea (Child),110,0,0,0,0,27,0,27,0
Sweet Tea (Large),280,0,0,0,0,69,0,69,1
Sweet Tea (Medium),180,0,0,0,0,45,0,45,1
Sweet Tea (Small),150,0,0,0,0,36,0,36,1
Nonfat Cappuccino (Small),60,0,0,0,5,9,0,9,6
Nonfat Cappuccino (Medium),80,0,0,0,5,12,0,12,8
Nonfat Cappuccino (Large),90,0,0,0,5,13,0,13,9
Nonfat Latte (Small),90,0,0,0,5,13,0,13,9
Nonfat Latte (Medium),110,0,0,0,5,15,0,15,10
Nonfat Latte (Large),120,0,0,0,5,18,0,18,12
Nonfat Caramel Cappuccino (Small),150,0,0,0,5,33,0,32,5
Nonfat Caramel Cappuccino (Medium),190,0,0,0,5,41,0,41,6
Nonfat Caramel Cappuccino (Large),230,0,0,0,5,49,0,49,7
Nonfat Caramel Latte (Small),170,0,0,0,5,36,0,36,7
Nonfat Caramel Latte (Medium),220,0,0,0,5,45,0,45,9
Nonfat Caramel Latte (Large),260,0,0,0,5,53,0,53,10
Nonfat Hazelnut Cappuccino (Small),150,0,0,0,5,34,0,34,5
Nonfat Hazelnut Cappuccino (Medium),190,0,0,0,5,43,0,43,6
Nonfat Hazelnut Cappuccino (Large),230,0,0,0,5,51,0,51,7
Nonfat Hazelnut Latte (Small),180,0,0,0,5,37,0,37,7
Nonfat Hazelnut Latte (Medium),220,0,0,0,5,46,0,46,9
Nonfat Hazelnut Latte (Large),260,0,0,0,5,55,0,55,10
Nonfat Vanilla Cappuccino (Small),150,0,0,0,5,34,0,34,5
Nonfat Vanilla Cappuccino (Medium),190,0,0,0,5,42,0,42,6
Nonfat Vanilla Cappuccino (Large),230,0,0,0,5,51,0,51,7
Nonfat Vanilla Latte (Small),180,0,0,0,5,37,0,37,7
Nonfat Vanilla Latte (Medium),220,0,0,0,5,46,0,46,9
Nonfat Vanilla Latte (Large),260,0,0,0,5,55,0,55,10
Nonfat Cappuccino with Sugar Free Vanilla Syrup (Small),50,0,0,0,5,15,0,8,5
Nonfat Cappuccino with Sugar Free Vanilla Syrup (Medium),70,0,0,0,5,19,0,10,7
Nonfat Cappuccino with Sugar Free Vanilla Syrup (Large),80,0,0,0,5,22,0,11,8
Nonfat Latte with Sugar Free Vanilla Syrup (Small),80,0,0,0,5,18,0,11,7
Nonfat Latte with Sugar Free Vanilla Syrup (Medium),90,0,0,0,5,22,0,13,9
Nonfat Latte with Sugar Free Vanilla Syrup (Large),110,0,0,0,5,27,0,15,11
Mocha with Nonfat Milk (Small),240,5,3,0,5,41,0,34,7
Mocha with Nonfat Milk (Medium),280,6,3.5,0,10,50,0,42,8
Mocha with Nonfat Milk (Large),330,6,3.5,0,10,58,0,50,10
Hot Chocolate with Nonfat Milk (Small),250,5,3,0,10,43,0,37,8
Hot Chocolate with Nonfat Milk (Medium),310,6,3.5,0,10,55,0,47,11
Hot Chocolate with Nonfat Milk (Large),390,6,3.5,0,10,68,0,59,16
Iced Nonfat Latte (Small),50,0,0,0,5,7,0,7,5
Iced Nonfat Latte (Medium),60,0,0,0,5,9,0,9,6
Iced Nonfat Latte (Large),70,0,0,0,5,11,0,11,7
Iced Nonfat Caramel Latte (Small),140,0,0,0,0,30,0,30,3
Iced Nonfat Caramel Latte (Medium),150,0,0,0,5,32,0,32,5
Iced Nonfat Caramel Latte (Large),190,0,0,0,5,40,0,40,6
Iced Nonfat Hazelnut Latte (Small),140,0,0,0,0,32,0,32,3
Iced Nonfat Hazelnut Latte (Medium),150,0,0,0,5,33,0,33,5
Iced Nonfat Hazelnut Latte (Large),190,0,0,0,5,42,0,42,6
Iced Nonfat Vanilla Latte (Small),140,0,0,0,0,31,0,31,3
Iced Nonfat Vanilla Latte (Medium),150,0,0,0,5,33,0,33,5
Iced Nonfat Vanilla Latte (Large),190,0,0,0,5,41,0,41,6
Iced Nonfat Latte with Sugar Free Vanilla Syrup (Small),40,0,0,0,0,13,0,5,4
Iced Nonfat Latte with Sugar Free Vanilla Syrup (Medium),50,0,0,0,5,14,0,6,5
Iced Nonfat Latte with Sugar Free Vanilla Syrup (Large),60,0,0,0,5,19,0,8,6
Iced Mocha with Nonfat Milk (Medium),270,8,4.5,0,10,43,0,35,7
Iced Nonfat Caramel Mocha (Large),300,6,4,0,10,49,0,45,11
Iced Nonfat Caramel Mocha (Medium),240,6,4,0,10,37,0,34,9
Iced Nonfat Caramel Mocha (Small),200,6,4,0,10,29,0,26,6
Nonfat Caramel Mocha (Large),280,4,2.5,0,10,49,0,46,12
Nonfat Caramel Mocha (Medium),240,4,2.5,0,5,41,0,38,9
Nonfat Caramel Mocha (Small),200,4,2.5,0,5,34,0,31,8
Cappuccino (Small),120,7,4,0,20,9,0,9,6
Cappuccino (Medium),140,8,4.5,0,25,11,0,11,8
Cappuccino (Large),180,10,6,0,30,13,0,13,9
Latte (Small) ,150,8,4.5,0,25,11,0,11,8
Latte (Medium),180,10,6,0,30,13,0,13,10
Latte (Large),210,11,7,0,35,16,0,16,11
Caramel Cappuccino (Small),200,5,3,0,15,32,0,32,5
Caramel Cappuccino (Medium),240,6,3.5,0,20,41,0,40,6
Caramel Cappuccino (Large),290,8,4.5,0,25,49,0,49,8
Caramel Latte (Small),230,7,4,0,20,35,0,35,7
Caramel Latte (Medium),280,8,4.5,0,25,43,0,43,8
Caramel Latte (Large),330,9,5,0,30,52,0,51,9
Hazelnut Cappuccino (Small),200,5,3,0,15,34,0,34,5
Hazelnut Cappuccino (Medium),240,6,3.5,0,20,42,0,42,6
Hazelnut Cappuccino (Large),290,8,4.5,0,25,51,0,51,7
Hazelnut Latte (Small),230,7,4,0,20,36,0,36,7
Hazelnut Latte (Medium),280,8,4.5,0,25,45,0,45,8
Hazelnut Latte (Large),330,9,5,0,30,53,0,53,9
Vanilla Cappuccino (Small),200,5,3,0,15,34,0,34,5
Vanilla Cappuccino (Medium),240,6,3.5,0,20,42,0,42,6
Vanilla Cappuccino (Large),290,8,4.5,0,25,51,0,51,7
Vanilla Latte (Small),230,7,4,0,20,36,0,36,7
Vanilla Latte (Medium),280,8,4.5,0,25,44,0,44,8
Vanilla Latte (Large),330,9,5,0,30,53,0,53,9
Cappuccino with Sugar Free Vanilla Syrup (Small),100,5,3,0,15,15,0,7,5
Cappuccino with Sugar Free Vanilla Syrup (Medium),120,6,3.5,0,20,18,0,9,6
Cappuccino with Sugar Free Vanilla Syrup (Large),150,8,4.5,0,25,22,0,11,8
Latte with Sugar Free Vanilla Syrup (Small),130,7,4,0,20,17,0,10,7
Latte with Sugar Free Vanilla Syrup (Medium),160,8,5,0,25,21,0,11,8
Latte with Sugar Free Vanilla Syrup (Large),180,10,6,0,30,25,0,13,10
Mocha (Small),280,11,6,0,20,40,0,33,6
Mocha (Medium),330,12,7,0,25,48,0,41,7
Mocha (Large),400,14,8,0.5,30,58,0,49,10
Hot Chocolate (Small),300,12,7,0,25,41,0,35,8
Hot Chocolate (Medium),380,15,9,0.5,30,53,0,45,10
Hot Chocolate (Large),460,18,10,0.5,40,63,0,54,13
Iced Latte (Small),80,4.5,2.5,0,15,6,0,6,4
Iced Latte (Medium),100,6,3.5,0,15,8,0,8,6
Iced Latte (Large),140,8,4.5,0,25,10,0,10,7
Iced Caramel Latte (Small),160,3,1.5,0,10,29,0,29,3
Iced Caramel Latte (Medium),180,4.5,2.5,0,15,31,0,31,4
Iced Caramel Latte (Large),230,6,3.5,0,15,40,0,40,6
Iced Hazelnut Latte (Small),160,3,1.5,0,10,31,0,31,3
Iced Hazelnut Latte (Medium),180,4.5,2.5,0,15,33,0,33,4
Iced Hazelnut Latte (Large),230,6,3.5,0,15,41,0,41,6
Iced Vanilla Latte (Small),160,3,1.5,0,10,31,0,31,3
Iced Vanilla Latte (Medium),190,4.5,2.5,0,15,33,0,33,5
Iced Vanilla Latte (Large),230,6,3.5,0,15,41,0,41,6
Iced Latte with Sugar Free Vanilla Syrup (Small),60,3,2,0,10,12,0,4,3
Iced Latte with Sugar Free Vanilla Syrup (Medium),90,5,3,0,15,14,0,6,5
Iced Latte with Sugar Free Vanilla Syrup (Large),110,6,3.5,0,15,19,0,8,6
Iced Mocha (Medium),310,13,8,0,25,42,0,35,7
Caramel Mocha (Large),360,14,8,0.5,35,47,0,46,10
Caramel Mocha (Medium),290,12,7,0,25,39,0,38,8
Caramel Mocha (Small),250,11,6,0,25,33,0,31,7
Iced Caramel Mocha (Large),380,16,9,0.5,35,48,0,46,10
Iced Caramel Mocha (Medium),300,14,8,0,30,36,0,33,8
Iced Caramel Mocha (Small),240,12,7,0,25,29,0,26,6
Frappe Caramel (Small),450,20,13,1,55,61,0,57,6
Frappe Caramel (Medium),550,24,15,1,70,76,0,71,8
Frappe Caramel (Large),680,29,18,1.5,85,94,0,88,10
Frappe Mocha (Small),450,20,13,1,55,62,1,56,7
Frappe Mocha (Medium),560,24,15,1,65,78,1,70,8
Frappe Mocha (Large),680,28,18,1,80,96,1,87,10
Strawberry Banana Smoothie (Large),330,1,0.5,0,5,77,4,70,3
Strawberry Banana Smoothie (Medium),260,1,0,0,5,60,3,54,2
Strawberry Banana Smoothie (Small),210,0.5,0,0,5,49,2,44,2
Wild Berry Smoothie (Large),320,1,0.5,0,5,75,4,69,3
Wild Berry Smoothie (Medium),260,1,0,0,5,60,4,55,3
Wild Berry Smoothie (Small),210,0.5,0,0,5,48,3,44,2
Whopper Sandwich,660,40,12,1.5,90,49,2,11,28
Whopper Sandwich with Cheese,740,46,16,2,115,50,2,11,32
Bacon & Cheese Whopper Sandwich,790,51,17,2,125,50,2,11,35
Double Whopper Sandwich,900,58,20,3,175,49,2,11,48
Double Whopper Sandwich with Cheese,980,64,24,3,195,50,2,11,52
Triple Whopper Sandwich,1130,75,28,4,255,49,2,11,67
Triple Whopper Sandwich with Cheese,1220,82,32,4.5,280,50,2,11,71
Whopper JR. Sandwich,310,18,5,0.5,40,27,1,7,13
Bacon King Sandwich,1150,79,31,3.5,240,49,2,10,61
Cheddar Bacon King Sandwich,1190,84,33,3.5,235,50,2,11,64
Single Quarter Pound King Sandwich,580,29,13,1.5,105,49,2,10,32
Double Quarter Pound King Sandwich,900,54,25,3,210,50,2,11,56
Single Stacker King,700,42,16,2,125,48,1,10,35
Double Stacker King,1050,68,28,3.5,235,49,1,11,61
IMPOSSIBLE Whopper Sandwich,630,34,11,0,10,58,4,12,25
Hamburger,240,10,3.5,0.5,35,26,1,6,13
Cheeseburger,280,13,6,0.5,45,27,1,7,15
Double Hamburger,350,18,7,1,70,26,1,6,21
Double Cheeseburger,390,21,9,1.5,85,27,1,7,23
Extra Long Cheeseburger,630,37,14,1.5,100,45,2,9,29
Bacon Cheeseburger,320,16,7,0.5,55,27,1,7,17
Bacon Double Cheeseburger,420,24,10,1.5,90,27,1,7,25
Crispy Chicken Sandwich,670,41,7,0,60,54,2,8,23
Spicy Crispy Chicken Sandwich,700,42,7,0,65,57,3,8,25
Original Chicken Sandwich,660,40,7,0,75,48,2,5,28
Bacon & Cheese Crispy Chicken Sandwich,800,52,13,1,95,55,2,8,30
BBQ Bacon Crispy Chicken Sandwich,790,49,10,0.5,80,60,2,13,28
Crispy Chicken Jr.,450,30,5,0,30,34,2,5,12
Spicy Crispy Chicken Jr.,390,21,3.5,0,30,37,2,6,12
Chicken Nuggets- 4pc,170,11,1.5,0,25,11,1,0,8
Chicken Nuggets- 6pc,260,16,2.5,0,35,16,1,0,12
